rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.993730,Объём 8.59 млн ₸: +34.94 балла; посредничество на кратчайших маршрутах (0.00230307): +24.81; достижимость от 6 seed: +24.65; активность 125 участий в переводах: +14.98. Итого 99.37/100; вклады округлены.
2,100000000331309100,coordinator,0.981090,Объём 23.00 млн ₸: +35.00 балла; посредничество на кратчайших маршрутах (0.00455723): +24.94; достижимость от 4 seed: +23.17; активность 134 участий в переводах: +14.99. Итого 98.11/100; вклады округлены.
3,100000008710791100,distributor,0.980395,Объём 5.52 млн ₸: +34.89 балла; посредничество на кратчайших маршрутах (0.000314609): +24.17; достижимость от 5 seed: +24.30; активность 28 участий в переводах: +14.68. Итого 98.04/100; вклады округлены.
4,100000008603629100,coordinator,0.979363,Объём 4.99 млн ₸: +34.84 балла; посредничество на кратчайших маршрутах (0.00576053): +24.96; достижимость от 4 seed: +23.17; активность 119 участий в переводах: +14.97. Итого 97.94/100; вклады округлены.
5,100000000437046100,coordinator,0.978376,Объём 7.61 млн ₸: +34.92 балла; посредничество на кратчайших маршрутах (0.00219715): +24.80; достижимость от 4 seed: +23.17; активность 93 участий в переводах: +14.95. Итого 97.84/100; вклады округлены.
6,100000008346837100,coordinator,0.976671,Объём 1.26 млн ₸: +33.23 балла; посредничество на кратчайших маршрутах (0.00898116): +25.00; достижимость от 6 seed: +24.65; активность 38 участий в переводах: +14.79. Итого 97.67/100; вклады округлены.
7,100000000343175100,coordinator,0.973733,Объём 4.00 млн ₸: +34.73 балла; посредничество на кратчайших маршрутах (0.00109469): +24.60; достижимость от 4 seed: +23.17; активность 47 участий в переводах: +14.87. Итого 97.37/100; вклады округлены.
8,100000003115284100,consolidator,0.970906,Объём 2.16 млн ₸: +34.18 балла; посредничество на кратчайших маршрутах (0.000127805): +23.55; достижимость от 9 seed: +24.97; активность 19 участий в переводах: +14.39. Итого 97.09/100; вклады округлены.
9,100000008165763100,transit,0.969964,Объём 1.27 млн ₸: +33.27 балла; посредничество на кратчайших маршрутах (0.000345294): +24.25; достижимость от 6 seed: +24.65; активность 43 участий в переводах: +14.83. Итого 97.00/100; вклады округлены.
10,100000004156082100,coordinator,0.969908,Объём 2.32 млн ₸: +34.26 балла; посредничество на кратчайших маршрутах (0.00204004): +24.78; достижимость от 4 seed: +23.17; активность 36 участий в переводах: +14.78. Итого 96.99/100; вклады округлены.
11,100000001530983100,distributor,0.969291,Объём 1.83 млн ₸: +33.93 балла; посредничество на кратчайших маршрутах (0.000332072): +24.23; достижимость от 5 seed: +24.30; активность 21 участий в переводах: +14.47. Итого 96.93/100; вклады округлены.
12,100000008743913100,distributor,0.969280,Объём 1.85 млн ₸: +33.98 балла; посредничество на кратчайших маршрутах (0.000306065): +24.14; достижимость от 6 seed: +24.65; активность 16 участий в переводах: +14.17. Итого 96.93/100; вклады округлены.
13,100000005910114100,coordinator,0.966510,Объём 1.47 млн ₸: +33.59 балла; посредничество на кратчайших маршрутах (0.00584221): +24.97; достижимость от 4 seed: +23.17; активность 59 участий в переводах: +14.93. Итого 96.65/100; вклады округлены.
14,100000007442518100,peripheral,0.963964,Объём 4.42 млн ₸: +34.78 балла; посредничество на кратчайших маршрутах (0.000252241): +24.01; достижимость от 4 seed: +23.17; активность 20 участий в переводах: +14.43. Итого 96.40/100; вклады округлены.
15,100000002957787100,coordinator,0.962786,Объём 1.28 млн ₸: +33.29 балла; посредничество на кратчайших маршрутах (0.00427665): +24.93; достижимость от 4 seed: +23.17; активность 48 участий в переводах: +14.89. Итого 96.28/100; вклады округлены.
16,100000008512827100,distributor,0.959646,Объём 1.94 млн ₸: +34.07 балла; посредничество на кратчайших маршрутах (0.000137265): +23.63; достижимость от 5 seed: +24.30; активность 13 участий в переводах: +13.96. Итого 95.96/100; вклады округлены.
17,100000003016635100,coordinator,0.954094,Объём 9.41 млн ₸: +34.97 балла; посредничество на кратчайших маршрутах (0.00721547): +24.99; достижимость от 3 seed: +20.45; активность 187 участий в переводах: +15.00. Итого 95.41/100; вклады округлены.
18,100000008637537100,peripheral,0.953869,Объём 2.35 млн ₸: +34.29 балла; посредничество на кратчайших маршрутах (7.75354e-05): +23.03; достижимость от 4 seed: +23.17; активность 52 участий в переводах: +14.90. Итого 95.39/100; вклады округлены.
19,100000006866783100,coordinator,0.951200,Объём 3.95 млн ₸: +34.72 балла; посредничество на кратчайших маршрутах (0.00604523): +24.98; достижимость от 3 seed: +20.45; активность 121 участий в переводах: +14.97. Итого 95.12/100; вклады округлены.
20,100000007908818100,peripheral,0.949518,Объём 727 475 ₸: +32.02 балла; посредничество на кратчайших маршрутах (0.00017754): +23.82; достижимость от 8 seed: +24.86; активность 17 участий в переводах: +14.25. Итого 94.95/100; вклады округлены.
